index,driver_a_v,driver_a_i,measurement_a_v,driver_b_v,driver_b_i,time,driver_a_v_set,driver_a_i_set,driver_b_v_set
0,0.0,1.0000000002302585,1.928749847963918e-22,0.0004,1.0000000002302585,2024-07-19 16:40:49,0.0,,3.1
1,0.010101010101010102,1.0000002328123125,5.296112474122114e-22,0.010496969696969697,1.0000002328123125,2024-07-19 16:40:50,0.010101010101010102,,3.1
2,0.020202020202020204,1.0000004653944208,1.4542480647846349e-21,0.020593939393939397,1.0000004653944208,2024-07-19 16:40:51,0.020202020202020204,,3.1
3,0.030303030303030304,1.000000697976583,3.9931882947414406e-21,0.030690909090909095,1.000000697976583,2024-07-19 16:40:52,0.030303030303030304,,3.1
4,0.04040404040404041,1.0000009305587994,1.096480933575902e-20,0.04078787878787879,1.0000009305587994,2024-07-19 16:40:53,0.04040404040404041,,3.1
5,0.05050505050505051,1.00000116314107,3.010803270355997e-20,0.05088484848484849,1.00000116314107,2024-07-19 16:40:54,0.05050505050505051,,3.1
6,0.06060606060606061,1.0000013957233944,8.267299553694303e-20,0.060981818181818186,1.0000013957233944,2024-07-19 16:40:55,0.06060606060606061,,3.1
7,0.07070707070707072,1.000001628305773,2.2700998960464305e-19,0.07107878787878788,1.000001628305773,2024-07-19 16:40:56,0.07070707070707072,,3.1
8,0.08080808080808081,1.0000018608882058,6.233418185176562e-19,0.08117575757575758,1.0000018608882058,2024-07-19 16:40:57,0.08080808080808081,,3.1
9,0.09090909090909091,1.0000020934706926,1.7116208118840931e-18,0.09127272727272728,1.0000020934706926,2024-07-19 16:40:58,0.09090909090909091,,3.1
10,0.10101010101010102,1.0000023260532336,4.699902552088695e-18,0.10136969696969698,1.0000023260532336,2024-07-19 16:40:59,0.10101010101010102,,3.1
11,0.11111111111111112,1.0000025586358285,1.2905360723450829e-17,0.11146666666666667,1.0000025586358285,2024-07-19 16:41:00,0.11111111111111112,,3.1
12,0.12121212121212122,1.0000027912184777,3.5436550770264866e-17,0.12156363636363637,1.0000027912184777,2024-07-19 16:41:01,0.12121212121212122,,3.1
13,0.13131313131313133,1.000003023801181,9.73044580002851e-17,0.1316606060606061,1.000003023801181,2024-07-19 16:41:02,0.13131313131313133,,3.1
14,0.14141414141414144,1.0000032563839383,2.6718620579387954e-16,0.14175757575757578,1.0000032563839383,2024-07-19 16:41:03,0.14141414141414144,,3.1
15,0.15151515151515152,1.0000034889667497,7.336608212371899e-16,0.1518545454545455,1.0000034889667497,2024-07-19 16:41:04,0.15151515151515152,,3.1
16,0.16161616161616163,1.0000037215496151,2.0145433744198374e-15,0.16195151515151518,1.0000037215496151,2024-07-19 16:41:05,0.16161616161616163,,3.1
17,0.17171717171717174,1.0000039541325347,5.531691062056503e-15,0.17204848484848487,1.0000039541325347,2024-07-19 16:41:06,0.17171717171717174,,3.1
18,0.18181818181818182,1.0000041867155085,1.518935079511417e-14,0.18214545454545458,1.0000041867155085,2024-07-19 16:41:07,0.18181818181818182,,3.1
19,0.19191919191919193,1.0000044192985362,4.1708109688117315e-14,0.19224242424242427,1.0000044192985362,2024-07-19 16:41:08,0.19191919191919193,,3.1
20,0.20202020202020204,1.0000046518816181,1.1452539593170082e-13,0.20233939393939399,1.0000046518816181,2024-07-19 16:41:09,0.20202020202020204,,3.1
21,0.21212121212121213,1.0000048844647542,3.1447280664095757e-13,0.21243636363636367,1.0000048844647542,2024-07-19 16:41:10,0.21212121212121213,,3.1
22,0.22222222222222224,1.0000051170479443,8.63504075336992e-13,0.22253333333333336,1.0000051170479443,2024-07-19 16:41:11,0.22222222222222224,,3.1
