index,driver_a_v,driver_a_i,measurement_a_v,driver_b_v,driver_b_i,time,driver_a_v_set,driver_a_i_set,driver_b_v_set
0,0.0,1.0000000002302585,3.726639284186561e-06,0.0004,1.0000000002302585,2024-07-19 16:40:49,0.0,,3.1
1,0.010101010101010102,1.0000002328123125,4.797193278692463e-06,0.010496969696969697,1.0000002328123125,2024-07-19 16:40:50,0.010101010101010102,,3.1
2,0.020202020202020204,1.0000004653944208,6.175284088629799e-06,0.020593939393939397,1.0000004653944208,2024-07-19 16:40:51,0.020202020202020204,,3.1
3,0.030303030303030304,1.000000697976583,7.949256213604326e-06,0.030690909090909095,1.000000697976583,2024-07-19 16:40:52,0.030303030303030304,,3.1
4,0.04040404040404041,1.0000009305587994,1.0232831597689696e-05,0.04078787878787879,1.0000009305587994,2024-07-19 16:40:53,0.04040404040404041,,3.1
5,0.05050505050505051,1.00000116314107,1.3172398901497558e-05,0.05088484848484849,1.00000116314107,2024-07-19 16:40:54,0.05050505050505051,,3.1
6,0.06060606060606061,1.0000013957233944,1.695639614910516e-05,0.060981818181818186,1.0000013957233944,2024-07-19 16:40:55,0.06060606060606061,,3.1
7,0.07070707070707072,1.000001628305773,2.1827387704617898e-05,0.07107878787878788,1.000001628305773,2024-07-19 16:40:56,0.07070707070707072,,3.1
8,0.08080808080808081,1.0000018608882058,2.8097608899163118e-05,0.08117575757575758,1.0000018608882058,2024-07-19 16:40:57,0.08080808080808081,,3.1
9,0.09090909090909091,1.0000020934706926,3.616897333274143e-05,0.09127272727272728,1.0000020934706926,2024-07-19 16:40:58,0.09090909090909091,,3.1
10,0.10101010101010102,1.0000023260532336,4.655882297280472e-05,0.10136969696969698,1.0000023260532336,2024-07-19 16:40:59,0.10101010101010102,,3.1
11,0.11111111111111112,1.0000025586358285,5.993306767995565e-05,0.11146666666666667,1.0000025586358285,2024-07-19 16:41:00,0.11111111111111112,,3.1
12,0.12121212121212122,1.0000027912184777,7.714883177656044e-05,0.12156363636363637,1.0000027912184777,2024-07-19 16:41:01,0.12121212121212122,,3.1
13,0.13131313131313133,1.000003023801181,9.930933021744141e-05,0.1316606060606061,1.000003023801181,2024-07-19 16:41:02,0.13131313131313133,,3.1
